Date,RM,Risk_Free,Rm_minus_Rf,SMB,HML,WML,IML
1/2/2001,0.00717915,0.000578517,0.006600633,0.176477152,0.015224795,0.010002258,0.003199421
1/3/2001,0.063004643,0.000577143,0.0624275,0.013143726,0.034088704,-0.059469454,0.018637743
1/4/2001,0.000263875,0.000573709,-0.000309833,-0.009516284,-0.018571821,-3.19E-05,-0.005970974
1/5/2001,-0.012266558,0.000572678,-0.012839235,0.013002147,-0.009580885,0.01062557,0.023870627
1/8/2001,0.004554306,0.000572678,0.003981628,-0.002692355,0.021408565,-0.006672827,0.005604802
1/9/2001,0.020555455,0.000569927,0.019985528,-0.000573384,0.012110365,-0.006472183,0.002552849
1/10/2001,-0.003798391,0.000569583,-0.004367974,0.011452228,-0.000756164,0.002474796,0.027385169
1/11/2001,0.005261469,0.000567863,0.004693606,-0.015389254,0.001657311,0.006742716,-0.009301122
1/12/2001,-0.006216032,0.000567175,-0.006783206,0.007494521,0.004022454,-0.001055198,0.004744356
1/15/2001,0.005675715,0.000565798,0.005109917,-0.002810175,0.007539383,-0.010357168,0.009151194
1/16/2001,-0.0069063,0.000566486,-0.007472786,-0.000183498,-0.024732253,0.04041009,-0.010594593
1/17/2001,0.021554527,0.000565109,0.020989418,0.00492908,0.009767069,0.001035917,-0.008483074
1/18/2001,0.02345814,0.00056442,0.022893719,-0.018889422,0.001118143,0.009137541,0.001592529
1/19/2001,0.00622908,0.000563042,0.005666038,0.004450046,-0.016974604,0.021318002,0.011097012
1/22/2001,-0.006615999,0.000562009,-0.007178008,0.008475019,0.015054188,0.005901405,0.006349263
1/23/2001,0.02053987,0.000560974,0.019978895,0.000854161,0.019305504,-0.011408819,-0.001239727
1/24/2001,-0.003670198,0.00055994,-0.004230138,0.001335457,0.012831652,-0.036832274,-0.006727411
1/26/2001,0.00779844,0.000557181,0.007241259,0.001182454,0.030578107,-0.024964105,0.005110619
1/29/2001,0.002646672,0.000556491,0.002090182,-0.008421935,-0.00469804,-0.012466842,0.004443884
1/30/2001,-0.007122085,0.000555455,-0.00767754,0.013375645,-0.015830849,0.03102115,0.002741465
1/31/2001,0.003431372,0.0005558,0.002875572,-0.010476037,0.000924849,0.007184172,-0.007469443
2/1/2001,-0.0269178,0.0005558,-0.027473601,0.013534182,-0.018677959,0.023432752,0.010919681
2/2/2001,-0.009665851,0.000555455,-0.010221306,0.017939126,0.004465885,0.002860426,0.016725669
2/5/2001,-0.009620899,0.000556836,-0.010177735,0.00397495,-0.00045617,0.011983642,-0.006007938
2/6/2001,0.013778581,0.000557526,0.013221055,0.016097857,0.003482817,-0.003900287,0.002341728
2/7/2001,-0.007461581,0.000558906,-0.008020486,-0.00102689,0.005694561,0.00563327,0.003904558
2/8/2001,0.020776373,0.000557871,0.020218502,0.002833674,0.005182091,-0.003980932,0.010449186
2/9/2001,-0.006492465,0.000556491,-0.007048956,0.001368727,0.002882413,-0.000657134,-0.008035326
2/12/2001,-0.011348576,0.000558561,-0.011907136,0.004452834,0.002882037,0.006535538,0.007480209
2/13/2001,0.007476938,0.000557181,0.006919757,-0.006859209,-0.00789554,0.010207288,-0.018090584
2/14/2001,0.005554931,0.000555455,0.004999476,-0.006120425,-0.004340664,0.013411313,0.003164248
2/15/2001,-0.007734178,0.00056063,-0.008294808,0.00131992,-0.006817879,0.005660092,-0.004774338
2/16/2001,-0.035821812,0.000563042,-0.036384854,0.01177329,-0.02090597,0.013712957,0.000848349
2/19/2001,-0.008244919,0.000565453,-0.008810372,-0.004071295,-0.002106694,-0.004104556,-0.004802832
2/20/2001,0.001516364,0.000566486,0.000949877,-0.01639166,-0.005268699,0.020084334,-0.004277407
2/21/2001,-0.014770628,0.000567519,-0.015338147,0.007964763,0.002070784,-0.003266411,0.006615589
